frame,id,x1,y1,x2,y2
2,1,1063,563,1116,614
3,1,1067,567,1125,622
4,1,1071,573,1131,630
5,1,1075,579,1137,638
6,1,1080,586,1144,647
7,1,1085,592,1150,655
8,1,1091,602,1157,665
9,1,1096,610,1164,675
10,1,1101,615,1175,685
11,1,1108,625,1183,696
12,1,1117,634,1195,709
13,1,1123,645,1206,723
14,1,1131,655,1217,736
15,1,1140,665,1230,750
16,1,1147,676,1245,768
17,1,1158,690,1257,784
18,1,1168,704,1272,802
19,1,1179,718,1291,823
20,1,1192,736,1309,846
21,1,1205,755,1330,871
22,1,1220,775,1354,901
23,1,1235,797,1381,934
24,1,1255,821,1409,967
25,1,1275,848,1443,1008
26,1,1299,879,1483,1054
27,1,1338,914,1514,1078
28,1,1351,930,1533,1099
29,1,1364,946,1551,1121
30,1,1377,963,1570,1142
31,1,1390,979,1588,1163
32,1,1403,995,1607,1185
33,1,1416,1012,1625,1206
34,1,1429,1028,1644,1228
35,1,1442,1044,1662,1249
36,1,1455,1061,1681,1270
37,1,1468,1077,1699,1292
38,1,1481,1093,1718,1313
38,8,1110,484,1152,519
39,1,1494,1110,1736,1334
39,8,1114,490,1153,522
39,9,1027,464,1075,502
40,1,1507,1126,1755,1356
40,8,1116,491,1156,524
40,9,1027,466,1079,507
41,1,1520,1142,1773,1377
41,8,1117,489,1160,524
41,9,1028,467,1082,511
42,1,1534,1159,1792,1399
42,8,1118,490,1163,527
42,9,1031,472,1083,513
43,1,1547,1175,1810,1420
43,8,1120,491,1168,530
43,9,1034,474,1085,515
44,1,1560,1191,1829,1441
44,8,1122,491,1173,534
44,9,1037,478,1086,518
45,1,1573,1208,1847,1463
45,8,1123,492,1177,537
45,9,1037,479,1089,522
46,1,1586,1224,1866,1484
46,8,1126,494,1179,540
46,9,1038,482,1090,525
47,1,1599,1240,1884,1506
47,8,1128,495,1184,543
47,9,1041,483,1094,527
48,1,1612,1257,1903,1527
48,8,1132,500,1186,547
48,9,1042,486,1099,533
49,1,1625,1273,1921,1548
49,8,1137,505,1189,550
49,9,1045,490,1101,537
50,1,1638,1289,1940,1570
50,8,1141,510,1192,553
50,9,1045,492,1104,542
51,1,1651,1306,1958,1591
51,8,1146,513,1197,557
51,9,1045,493,1109,547
52,1,1664,1322,1977,1612
52,8,1150,515,1202,560
52,9,1048,496,1111,550
53,1,1677,1338,1995,1634
53,8,1153,516,1208,564
53,9,1052,500,1116,555
54,1,1690,1355,2014,1655
54,8,1156,520,1213,570
54,9,1056,504,1119,559
55,1,1703,1371,2032,1677
55,8,1163,526,1218,575
55,9,1061,512,1122,566
56,1,1716,1387,2051,1698
56,8,1167,532,1223,581
56,9,1064,518,1126,573
57,1,1730,1404,2069,1719
57,8,1171,535,1228,586
57,9,1068,522,1132,580
58,8,1175,538,1236,591
58,9,1071,527,1135,585
59,8,1180,540,1243,595
59,9,1076,532,1142,592
60,8,1185,542,1251,601
60,9,1080,538,1148,601
61,8,1192,553,1254,608
61,9,1083,543,1154,609
62,8,1197,558,1261,615
62,9,1089,554,1158,618
63,8,1202,562,1271,623
63,9,1095,561,1167,628
64,8,1210,565,1282,629
64,9,1100,568,1174,637
65,8,1217,574,1288,637
65,9,1105,577,1180,647
66,8,1224,581,1297,645
66,9,1113,588,1189,658
67,8,1230,585,1307,653
67,9,1119,596,1197,669
68,8,1236,591,1317,663
68,9,1125,605,1207,681
69,8,1245,600,1326,671
69,9,1130,614,1218,696
70,8,1255,609,1340,684
70,9,1138,623,1231,711
71,8,1262,616,1350,694
71,9,1147,636,1243,726
72,8,1272,624,1363,705
72,9,1156,650,1255,743
73,8,1282,633,1376,717
73,9,1164,664,1268,762
73,10,1047,442,1079,470
74,8,1294,645,1390,731
74,9,1175,679,1285,782
74,10,1047,445,1082,475
75,8,1304,653,1407,746
75,9,1183,695,1300,804
75,10,1049,447,1084,477
76,8,1317,666,1422,760
76,9,1195,711,1321,828
76,10,1050,448,1086,478
77,8,1330,677,1439,775
77,9,1208,730,1342,856
77,10,1052,450,1087,480
78,8,1341,687,1460,793
78,9,1223,750,1364,884
78,10,1054,453,1092,485
79,8,1354,700,1478,811
79,9,1239,772,1389,914
79,10,1057,456,1095,487
80,8,1370,715,1496,828
80,9,1256,797,1416,948
80,10,1059,458,1097,490
81,8,1387,729,1520,848
81,9,1274,824,1448,989
81,10,1060,462,1101,496
82,8,1406,744,1545,869
82,9,1296,855,1484,1034
82,10,1060,463,1105,502
83,8,1424,763,1570,893
83,9,1326,888,1519,1070
83,10,1062,469,1104,505
84,8,1444,780,1599,918
84,9,1365,925,1539,1082
84,10,1064,471,1106,507
85,8,1464,797,1630,947
85,9,1413,968,1555,1087
85,10,1066,474,1109,511
